Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,SKY,TNXP,AAPL,SKY,TNXP,AAPL,SKY,TNXP,AAPL,SKY,TNXP,AAPL,SKY,TNXP
Date,,,,,,,,,,,,,,,
2020-01-02,72.620849609375,32.11000061035156,812800.0,72.68129646149221,32.119998931884766,832000.0,71.37322569622376,31.43000030517578,742400.0,71.6270995236096,31.8700008392334,761600.0,135480400,452300,2
2020-01-03,71.91482543945312,32.060001373291016,806400.0,72.67645428247283,32.11000061035156,838400.0,71.68996492576686,30.850000381469727,768000.0,71.84712526182395,31.639999389648438,768000.0,146322800,440100,1
2020-01-06,72.48786926269531,32.04999923706055,992000.0,72.52655613732102,32.209999084472656,1011200.0,70.78327081623632,31.31999969482422,806400.0,71.03473181192003,31.670000076293945,812800.0,118387200,270600,3
2020-01-07,72.14694213867188,31.719999313354492,1043200.0,72.75382346407903,32.22999954223633,1395200.0,71.92691473047077,31.420000076293945,985600.0,72.49752942348555,32.18000030517578,1139200.0,108872000,285100,22
2020-01-08,73.30750274658203,32.04999923706055,1056000.0,73.60973691556963,33.04999923706055,1062400.0,71.84952541053639,31.799999237060547,966400.0,71.84952541053639,32.06999969482422,1024000.0,132079200,335200,2
2020-01-09,74.86463165283203,32.84000015258789,1036800.0,75.058058615668,33.029998779296875,1056000.0,74.0353026659935,32.22999954223633,992000.0,74.28675624192712,32.22999954223633,1024000.0,170108400,368200,1
2020-01-10,75.03387451171875,33.4900016784668,1011200.0,75.59966347515947,33.65999984741211,1113600.0,74.53096000715122,32.38999938964844,1011200.0,75.09916182683553,32.70000076293945,1081600.0,140644800,429600,1
2020-01-13,76.63692474365234,34.77000045776367,928000.0,76.66352519200935,34.790000915527344,1049600.0,75.23214067732687,33.27000045776367,902400.0,75.35062150930146,33.27000045776367,1017600.0,121532000,535600,1
2020-01-14,75.6020736694336,36.15999984741211,953600.0,76.78441745974806,36.41999816894531,1030400.0,75.47876712733354,34.720001220703125,908800.0,76.57406362681236,34.88999938964844,1030400.0,161954400,501300,1
2020-01-15,75.278076171875,35.849998474121094,889600.0,76.28391248020361,36.91999816894531,947200.0,74.84527472915032,35.59000015258789,857600.0,75.40139008732662,36.0,928000.0,121923600,812400,1
2020-01-16,76.22105407714844,35.470001220703125,1011200.0,76.33228158869747,36.52000045776367,1017600.0,75.45942527825108,35.130001068115234,889600.0,75.82210636141797,36.29999923706055,889600.0,108829200,460100,1
2020-01-17,77.06490325927734,34.88999938964844,992000.0,77.06731611579798,35.79999923706055,1017600.0,76.16303357048375,34.599998474121094,940800.0,76.47010092249148,35.58000183105469,960000.0,137816400,365900,1
2020-01-21,76.5426254272461,34.70000076293945,915200.0,77.1350000250309,35.040000915527344,921600.0,76.40480486276103,34.130001068115234,851200.0,76.69253240808335,34.77000045776367,864000.0,110843200,538000,1
2020-01-22,76.81584930419922,34.02000045776367,838400.0,77.36953706088629,35.349998474121094,902400.0,76.7215486894379,34.0,838400.0,77.02861598860008,34.970001220703125,889600.0,101832400,498200,1
2020-01-23,77.185791015625,36.04999923706055,889600.0,77.26557760751265,36.2400016784668,915200.0,76.32018802900329,34.02000045776367,864000.0,76.86905012564355,34.08000183105469,896000.0,104472000,613700,1
2020-01-24,76.96332550048828,35.970001220703125,1043200.0,78.17709525774193,36.56999969482422,1267200.0,76.77231144105775,35.099998474121094,972800.0,77.43239351756245,36.279998779296875,1164800.0,146537600,546900,24
2020-01-27,74.70022583007812,35.91999816894531,1049600.0,75.38206074177405,36.70000076293945,1068800.0,73.71614926676186,35.369998931884766,921600.0,74.96860632256451,35.45000076293945,953600.0,161940000,631800,2
2020-01-28,76.81341552734375,36.189998626708984,972800.0,76.98508246127517,37.029998779296875,1068800.0,75.48358524576821,35.849998474121094,953600.0,75.5827189340282,36.36000061035156,1068800.0,162234000,646300,1
2020-01-29,78.42131805419922,30.84000015258789,876800.0,79.2699941203994,34.0,972800.0,77.70562947444549,30.760000228881836,876800.0,78.44791850299463,34.0,972800.0,216229200,1804700,1
2020-01-30,78.30767059326172,29.510000228881836,844800.0,78.36086410726632,30.81999969482422,896000.0,77.06972049871605,29.459999084472656,832000.0,77.50252193635508,30.030000686645508,883200.0,126743200,1079700,1
2020-01-31,74.83560943603516,28.75,896000.0,78.01994488964468,29.700000762939453,915200.0,74.54062855663432,28.34000015258789,800000.0,77.59681700240047,29.34000015258789,819200.0,199588400,831400,1
2020-02-03,74.6301040649414,28.899999618530273,889600.0,75.79793402750128,29.510000228881836,921600.0,73.07299252901737,28.389999389648438,870400.0,73.57590710330668,28.799999237060547,889600.0,173788400,390500,0
2020-02-04,77.09391021728516,28.31999969482422,1043200.0,77.2849243200521,29.440000534057617,1043200.0,75.83177975550196,28.040000915527344,889600.0,76.23798079684781,29.40999984741211,889600.0,136616400,655000,2
